# Brian
# sorted alpha-numerically
# do NOT re-sort!
# 1287
AAB - AitAbbas.txt
AAC - Aachen.txt
AAL - Aaland.txt
ABB - Dongola.txt
ABD - Abdallab.txt
ABE - Abenaki.txt
ABR - Abruzzo.txt
ACH - Principality of Achaia.txt
ADA - Adal.txt
ADE - Aden.txt
ADR - Andria.txt
ADU - Andalusia.txt
AFA - Afar.txt
AFG - Afghanistan.txt
AHM - Ahmadnagar.txt
AIR - Air.txt
AJO - Alentejo.txt
AJU - Ajuuraan.txt
AKK - Ak Koyunlu.txt
AKM - Akamatsu.txt
AKT - Ando.txt
ALA - Alaska.txt
ALB - Albania.txt
ALE - Alencon.txt
ALG - Algiers.txt
ALH - Haasa.txt
ALI - Alaiye.txt
ALO - Alodia.txt
ALP - AlbaPiedmont.txt
ALQ - Algonquin.txt
ALR - Alatri.txt # changed from ALT
ALS - Alsace.txt
ALX - Alexandria.txt
AMA - Amago.txt
AMG - Armangnac.txt
ANC - Ancona.txt
ANF - Anfa.txt
ANH - Anhalt.txt
ANI - AngloIreland.txt
ANJ - ProvenceBT.txt
ANN - Annam.txt
ANR - Antrim.txt
ANS - Ansbach.txt
ANT - Antemoro.txt
ANU - Ainu.txt
ANZ - Annizah.txt
AOR - Andorra.txt
APA - Apache.txt
APU - Apulia.txt
AQU - Aquileia.txt
ARA - Aragon.txt
ARB - Arabia.txt
ARD - Ardalan.txt
ARE - Arezzo.txt
ARK - Arakan.txt
ARL - Ardabil.txt
ARM - Armenia.txt
ARP - Arapaho.txt
ARR - Arborea.txt
ARU - Aru.txt
ARW - Arawak.txt
ASA - Asakura.txt
ASC - Auschwitz.txt
ASD - Alessandria.txt
ASH - Ashanti.txt
ASI - Assiniboine.txt
ASK - Ashikaga.txt
ASS - Assam.txt
AST - Astrakhan.txt
ASU - Asturias.txt
ATC - Antioch.txt
ATH - Duchy of Athens.txt
ATI - Asti.txt
ATJ - Atjeh.txt
ATR - Atri.txt
ATS - Artois.txt
AUG - Augsburg.txt
AUR - Aures.txt
AUS - Australia.txt
AUV - Auvergne.txt
AVA - Ava.txt
AVI - Avignon.txt
AVR - Avars.txt
AWN - Awngthim.txt # new in 1.31
AYD - Aydin.txt
AYU - Ayutthaya.txt
AZD - Azd.txt
AZT - Aztec Empire.txt
BAD - Baden.txt
BAH - Bahmanis.txt
BAI - Bari.txt
BAL - Baluchistan.txt
BAM - Bamberg.txt
BAN - Banten.txt
BAR - Bar.txt
BAU - Breslau.txt
BAV - Bavaria.txt
BDA - Baroda.txt
BDN - Vidin.txt
BEG - Brieg.txt
BEI - Brunei.txt
BEJ - Beja.txt
BEL - Belgium.txt
BEN - Benin.txt
BER - Berry.txt
BET - Beuthen.txt
BEU - Berau.txt
BGA - Baglana.txt
BGL - Bagelkhand.txt
BGM - Bergamo.txt
BHA - Bharat.txt
BHT - Bohtan.txt
BHU - Bhutan.txt
BIF - Breifne.txt
BIJ - Bijapur.txt
BKJ - Baekje.txt
BLA - Blackfoot.txt
BLG - Bologna.txt
BLI - Bali.txt
BLL - Belluno.txt
BLM - Blambangan.txt
BLO - Beloozero.txt
BLV - Belyov.txt
BMA - Bima.txt
BND - Bundelkhand.txt
BNE - Bone.txt
BNG - Bengal.txt
BNJ - Banjar.txt
BNY - Bunyoro.txt
BOB - Bobbio.txt
BOH - Bohemia.txt
BON - Bonoman.txt
BOS - Bosnia.txt
BOU - Bourbonnais.txt
BPI - Biapas.txt
BPR - Prome.txt
BRA - Brandenburg.txt
BRB - Brabant.txt
BRC - Brecon.txt
BRD - Bardi.txt
BRE - Bremen.txt
BRG - Berg.txt
BRI - Brittany.txt
BRM - Burma.txt
BRR - Berar.txt
BRS - Barus.txt
BRT - Buryats.txt
BRU - Brunswick.txt
BRX - Brixen.txt
BRZ - Brazil.txt
BSA - Besancon.txt
BSC - Brescia.txt
BSG - Basoga.txt
BSH - Bashkiria.txt
BSL - Basel.txt
BSM - BanuSulaym.txt
BSR - Basra.txt
BST - Bastar.txt
BTI - Semien.txt
BTL - Bitlis.txt
BTN - Buton.txt
BTS - Betsimisaraka.txt
BTU - Butuan.txt
BUG - Buganda.txt
BUK - Bukhara.txt
BUL - Bulgaria.txt
BUR - Burgundy.txt
